age,job,balance,loan,day,month,pdays,previous,ifCreatedAccount,ifCreditExists
58,2,2143,0,5,5,-1,0,0,0
44,3,29,0,5,5,-1,0,0,0
33,8,2,1,5,5,-1,0,0,0
47,1,1506,0,5,5,-1,0,0,0
33,12,1,0,5,5,-1,0,0,0
35,2,231,0,5,5,-1,0,0,0
28,2,447,1,5,5,-1,0,0,0
42,8,2,0,5,5,-1,0,0,1
58,6,121,0,5,5,-1,0,0,0
43,3,593,0,5,5,-1,0,0,0
41,4,270,0,5,5,-1,0,0,0
29,4,390,0,5,5,-1,0,0,0
53,3,6,0,5,5,-1,0,0,0
58,3,71,0,5,5,-1,0,0,0
57,5,162,0,5,5,-1,0,0,0
51,6,229,0,5,5,-1,0,0,0
45,4,13,0,5,5,-1,0,0,0
57,1,52,0,5,5,-1,0,0,0
60,6,60,0,5,5,-1,0,0,0
33,5,0,0,5,5,-1,0,0,0
28,1,723,1,5,5,-1,0,0,0
56,2,779,0,5,5,-1,0,0,0
32,1,23,1,5,5,-1,0,0,0
25,5,50,0,5,5,-1,0,0,0
40,6,0,1,5,5,-1,0,0,0
44,4,-372,0,5,5,-1,0,0,0
39,2,255,0,5,5,-1,0,0,0
52,8,113,1,5,5,-1,0,0,0
46,2,-246,0,5,5,-1,0,0,0
36,3,265,1,5,5,-1,0,0,0
57,3,839,1,5,5,-1,0,0,0
49,2,378,0,5,5,-1,0,0,0
60,4,39,1,5,5,-1,0,0,0
59,1,0,0,5,5,-1,0,0,0
51,2,10635,0,5,5,-1,0,0,0
57,3,63,0,5,5,-1,0,0,0
25,1,-7,0,5,5,-1,0,0,0
53,3,-3,0,5,5,-1,0,0,0
36,4,506,0,5,5,-1,0,0,0
37,4,0,0,5,5,-1,0,0,0
44,5,2586,0,5,5,-1,0,0,0
50,2,49,0,5,5,-1,0,0,0
60,1,104,0,5,5,-1,0,0,0
54,6,529,0,5,5,-1,0,0,0
58,6,96,0,5,5,-1,0,0,0
36,4,-171,0,5,5,-1,0,0,0
58,7,-364,0,5,5,-1,0,0,0
44,3,0,0,5,5,-1,0,0,0
55,3,0,0,5,5,-1,0,0,0
29,2,0,0,5,5,-1,0,0,0
54,1,1291,0,5,5,-1,0,0,0
48,2,-244,0,5,5,-1,0,0,0
32,2,0,0,5,5,-1,0,0,0
42,4,-76,0,5,5,-1,0,0,0
24,3,-103,1,5,5,-1,0,0,0
38,8,243,1,5,5,-1,0,0,0
38,2,424,0,5,5,-1,0,0,0
47,1,306,0,5,5,-1,0,0,0
40,1,24,0,5,5,-1,0,0,0
46,5,179,0,5,5,-1,0,0,0
32,4,0,0,5,5,-1,0,0,0
53,3,989,0,5,5,-1,0,0,0
57,1,249,0,5,5,-1,0,0,0
33,5,790,0,5,5,-1,0,0,0
49,1,154,0,5,5,-1,0,0,0
51,2,6530,0,5,5,-1,0,0,0
60,6,100,0,5,5,-1,0,0,0
59,2,59,0,5,5,-1,0,0,0
55,3,1205,0,5,5,-1,0,0,0
35,1,12223,1,5,5,-1,0,0,0
57,1,5935,1,5,5,-1,0,0,0
31,5,25,1,5,5,-1,0,0,0
54,2,282,1,5,5,-1,0,0,0
55,1,23,0,5,5,-1,0,0,0
43,3,1937,0,5,5,-1,0,0,0
53,3,384,0,5,5,-1,0,0,0
44,1,582,1,5,5,-1,0,0,0
55,5,91,0,5,5,-1,0,0,0
49,5,0,1,5,5,-1,0,0,0
55,5,1,0,5,5,-1,0,0,1
45,4,206,0,5,5,-1,0,0,0
47,5,164,0,5,5,-1,0,0,0
42,3,690,0,5,5,-1,0,0,0
59,4,2343,0,5,5,-1,0,1,0
46,7,137,1,5,5,-1,0,0,0
51,1,173,0,5,5,-1,0,0,0
56,4,45,0,5,5,-1,0,1,0
41,3,1270,0,5,5,-1,0,1,0
46,2,16,1,5,5,-1,0,0,0
57,6,486,0,5,5,-1,0,0,0
42,2,50,0,5,5,-1,0,0,0
30,3,152,1,5,5,-1,0,0,0
60,4,290,0,5,5,-1,0,0,0
60,1,54,0,5,5,-1,0,0,0
57,8,-37,0,5,5,-1,0,0,0
36,2,101,1,5,5,-1,0,0,0
55,1,383,0,5,5,-1,0,0,0
60,6,81,0,5,5,-1,0,0,0
39,3,0,0,5,5,-1,0,0,0
46,2,229,0,5,5,-1,0,0,0
44,1,-674,0,5,5,-1,0,0,0
53,1,90,0,5,5,-1,0,0,0
52,1,128,0,5,5,-1,0,0,0
59,1,179,0,5,5,-1,0,0,0
27,3,0,0,5,5,-1,0,0,0
44,1,54,0,5,5,-1,0,0,0
47,3,151,0,5,5,-1,0,0,0
34,4,61,1,5,5,-1,0,0,0
59,6,30,0,5,5,-1,0,0,0
45,2,523,0,5,5,-1,0,0,0
29,5,31,0,5,5,-1,0,0,0
46,3,79,0,5,5,-1,0,0,0
